Category,categories
2013-12-06 11:17:46 +0900
id,name,genre_id,created_at,updated_at
1,China,2,2013-10-29 16:22:57 UTC,2013-10-29 16:22:57 UTC
2,US,2,2013-11-08 09:38:29 UTC,2013-11-08 09:38:29 UTC
3,Europe,2,2013-11-09 23:39:00 UTC,2013-11-09 23:39:00 UTC
4,Nuc plants,1,2013-11-11 01:18:59 UTC,2013-11-11 01:18:59 UTC
5,医療・介護,1,2013-11-11 01:19:24 UTC,2013-11-11 01:19:24 UTC
6,Automobile,3,2013-11-22 01:22:32 UTC,2013-11-22 01:22:32 UTC
